zipcode,male_2015,white_2015,median_age_2015
60002,0.52,0.93,40.60
60004,0.48,0.85,41.80
60005,0.50,0.84,42.50
60007,0.49,0.82,42.80
60008,0.48,0.71,37.20
60010,0.48,0.88,47.30
60012,0.49,0.96,45.90
60013,0.51,0.91,41.10
60014,0.49,0.93,38.60
60015,0.48,0.91,42.90
60016,0.50,0.67,40.10
60018,0.53,0.71,39.00
60020,0.49,0.91,40.90
60021,0.49,0.91,35.40
60022,0.51,0.95,44.00
60025,0.47,0.81,44.50
60026,0.48,0.78,45.00
60029,0.55,0.95,42.00
60030,0.49,0.87,40.20
60031,0.49,0.75,38.70
60033,0.51,0.83,32.30
60034,0.49,0.92,43.40
60035,0.50,0.93,45.80
60040,0.49,0.89,36.50
60041,0.50,0.92,41.40
60042,0.49,0.92,37.30
60043,0.50,0.95,42.50
60044,0.46,0.87,44.10
60045,0.49,0.92,46.30
60046,0.50,0.89,38.80
60047,0.50,0.86,42.50
60048,0.49,0.91,44.90
60050,0.50,0.92,39.50
60051,0.50,0.93,39.00
60053,0.48,0.62,45.20
60056,0.50,0.74,39.30
60060,0.50,0.84,37.50
60061,0.50,0.70,38.10
60062,0.48,0.83,48.30
60064,0.49,0.43,28.90
60067,0.49,0.79,43.30
60068,0.48,0.92,44.80
60069,0.47,0.88,52.40
60070,0.49,0.76,37.40
60071,0.51,0.95,45.40
60072,0.47,0.94,40.20
60073,0.51,0.82,31.60
60074,0.50,0.65,34.20
60076,0.49,0.62,45.30
60077,0.45,0.59,41.90
60081,0.51,0.98,42.20
60083,0.49,0.68,39.90
60084,0.51,0.91,38.30
60085,0.50,0.66,29.90
60087,0.49,0.66,35.60
60088,0.73,0.72,21.30
60089,0.49,0.77,42.70
60090,0.49,0.67,36.50
60091,0.50,0.83,43.60
60093,0.50,0.91,43.50
60096,0.48,0.95,41.30
60097,0.57,0.96,38.00
60098,0.50,0.90,38.70
60099,0.48,0.60,33.50
60101,0.49,0.83,34.10
60102,0.49,0.90,40.10
60103,0.51,0.77,39.20
60104,0.47,0.14,36.80
60106,0.49,0.78,35.50
60107,0.51,0.60,36.60
60108,0.47,0.80,43.70
60109,0.46,0.99,41.80
60110,0.51,0.63,30.20
60111,0.49,1.00,63.60
60112,0.49,0.88,29.30
60113,0.46,0.98,39.70
60115,0.49,0.73,24.40
60118,0.52,0.88,43.80
60119,0.49,0.97,42.10
60120,0.50,0.60,31.80
60123,0.50,0.69,34.20
60124,0.50,0.76,39.40
60126,0.49,0.90,40.20
60129,0.49,1.00,38.30
60130,0.47,0.56,39.80
60131,0.48,0.78,39.20
60133,0.51,0.51,33.80
60134,0.50,0.93,41.20
60135,0.51,0.97,40.20
60136,0.52,0.71,32.30
60137,0.49,0.87,41.60
60139,0.52,0.60,33.20
60140,0.49,0.88,39.10
60141,1.00,0.54,65.00
60142,0.47,0.90,45.70
60143,0.50,0.89,41.40
60144,0.50,0.64,41.50
60145,0.52,0.95,36.80
60146,0.52,0.96,36.70
60148,0.49,0.81,40.50
60150,0.52,0.96,37.80
60151,0.51,0.97,41.50
60152,0.50,0.95,42.60
60153,0.47,0.15,34.20
60154,0.48,0.72,46.50
60155,0.52,0.22,44.60
60156,0.49,0.89,36.10
60157,0.49,0.94,42.80
60160,0.51,0.55,31.50
60162,0.47,0.37,40.30
60163,0.50,0.52,36.00
60164,0.50,0.68,35.30
60165,0.50,0.46,30.70
60169,0.49,0.56,34.90
60171,0.49,0.85,38.40
60172,0.48,0.84,38.80
60173,0.52,0.50,32.00
60174,0.47,0.88,43.20
60175,0.54,0.94,40.20
60176,0.51,0.76,37.10
60177,0.48,0.85,36.10
60178,0.48,0.90,37.90
60180,0.48,1.00,51.80
60181,0.51,0.77,36.50
60184,0.51,0.97,47.90
60185,0.52,0.85,33.80
60187,0.49,0.89,36.50
60188,0.50,0.75,38.00
60189,0.48,0.87,40.80
60190,0.51,0.92,45.60
60191,0.49,0.86,41.40
60192,0.49,0.66,41.90
60193,0.48,0.76,41.90
60194,0.47,0.62,37.90
60195,0.49,0.50,31.80
60201,0.49,0.69,31.00
60202,0.46,0.66,38.50
60203,0.48,0.74,42.30
60301,0.40,0.62,45.70
60302,0.47,0.68,39.50
60304,0.47,0.69,38.00
60305,0.48,0.82,41.60
60401,0.52,0.93,46.00
60402,0.49,0.67,35.20
60403,0.52,0.69,38.30
60404,0.46,0.83,38.70
60406,0.50,0.42,34.20
60407,0.52,0.97,35.30
60408,0.54,0.98,40.50
60409,0.45,0.21,36.10
60410,0.49,0.93,36.30
60411,0.48,0.35,33.80
60415,0.51,0.79,32.60
60416,0.48,0.96,34.80
60417,0.51,0.74,48.30
60419,0.46,0.07,36.40
60420,0.40,0.86,40.60
60421,0.51,0.95,42.20
60422,0.46,0.45,47.80
60423,0.49,0.91,41.00
60424,0.51,0.97,41.70
60425,0.50,0.26,42.80
60426,0.48,0.11,37.20
60428,0.45,0.14,37.20
60429,0.48,0.13,38.80
60430,0.47,0.52,42.10
60431,0.49,0.80,33.90
60432,0.51,0.50,30.00
60433,0.51,0.46,34.60
60435,0.48,0.69,35.60
60436,0.51,0.63,32.10
60437,0.49,1.00,52.30
60438,0.47,0.57,42.10
60439,0.48,0.95,43.00
60440,0.49,0.51,33.40
60441,0.51,0.87,36.20
60442,0.52,0.97,34.70
60443,0.46,0.22,41.10
60444,0.53,0.95,35.40
60445,0.49,0.83,39.00
60446,0.48,0.61,32.60
60447,0.49,0.93,33.60
60448,0.51,0.95,40.60
60449,0.49,0.84,42.10
60450,0.51,0.95,41.40
60451,0.49,0.93,38.30
60452,0.49,0.87,38.20
60453,0.49,0.85,41.00
60455,0.47,0.87,38.10
60456,0.39,0.93,41.00
60457,0.51,0.90,38.60
60458,0.47,0.70,31.60
60459,0.49,0.84,36.50
60460,0.51,0.99,43.50
60461,0.46,0.24,53.30
60462,0.47,0.88,45.30
60463,0.47,0.94,51.50
60464,0.46,0.92,52.20
60465,0.46,0.88,41.80
60466,0.46,0.29,35.80
60467,0.47,0.91,46.30
60468,0.53,0.99,40.70
60469,0.51,0.65,30.60
60470,0.50,1.00,42.80
60471,0.45,0.13,39.50
60472,0.54,0.05,38.70
60473,0.47,0.19,42.40
60474,0.53,0.99,38.30
60475,0.50,0.69,38.00
60476,0.46,0.85,40.30
60477,0.48,0.86,39.90
60478,0.49,0.13,38.10
60479,0.50,0.99,40.10
60480,0.46,0.88,45.10
60481,0.51,0.95,44.20
60482,0.51,0.92,36.40
60484,0.48,0.05,30.40
60487,0.49,0.87,38.00
60490,0.49,0.60,35.60
60491,0.50,0.97,44.90
60501,0.52,0.70,32.10
60502,0.49,0.68,34.90
60503,0.50,0.71,32.10
60504,0.47,0.66,33.00
60505,0.51,0.40,28.90
60506,0.49,0.61,33.80
60510,0.48,0.92,41.50
60511,0.53,0.95,45.80
60512,0.58,0.81,42.10
60513,0.46,0.90,39.30
60514,0.47,0.89,39.80
60515,0.48,0.90,42.50
60516,0.49,0.86,44.00
60517,0.50,0.72,38.00
60518,0.51,0.98,45.30
60519,0.18,1.00,18.40
60520,0.52,0.95,39.20
60521,0.48,0.88,41.70
60523,0.46,0.72,57.40
60525,0.49,0.90,43.20
60526,0.50,0.94,42.30
60527,0.48,0.71,44.10
60530,0.53,0.95,44.20
60531,0.51,0.99,46.50
60532,0.49,0.80,36.60
60534,0.53,0.87,36.10
60536,0.46,0.98,42.90
60537,0.55,1.00,38.90
60538,0.50,0.78,33.50
60539,0.82,0.70,56.70
60540,0.49,0.79,39.00
60541,0.51,0.96,39.20
60542,0.49,0.78,37.20
60543,0.49,0.85,36.30
60544,0.48,0.82,37.20
60545,0.49,0.83,32.30
60546,0.48,0.87,41.90
60548,0.48,0.95,39.00
60549,0.57,1.00,37.30
60550,0.50,0.94,37.80
60551,0.64,0.78,38.90
60552,0.55,0.96,45.00
60553,0.54,0.97,40.80
60554,0.52,0.90,41.90
60555,0.51,0.85,38.40
60556,0.48,0.97,35.70
60557,0.48,1.00,-
60558,0.48,0.98,43.20
60559,0.46,0.73,39.80
60560,0.51,0.88,34.70
60561,0.49,0.81,46.80
60563,0.49,0.74,36.40
60564,0.50,0.67,38.90
60565,0.48,0.75,41.40
60585,0.51,0.81,36.00
60586,0.49,0.78,31.10
60601,0.51,0.71,36.20
60602,0.50,0.85,25.90
60603,0.43,0.64,27.10
60604,0.56,0.70,46.40
60605,0.48,0.60,32.70
60606,0.51,0.77,31.50
60607,0.50,0.60,30.30
60608,0.55,0.47,31.70
60609,0.49,0.48,31.40
60610,0.45,0.74,33.10
60611,0.46,0.75,38.40
60612,0.49,0.25,30.50
60613,0.51,0.84,31.90
60614,0.50,0.86,30.10
60615,0.47,0.27,33.10
60616,0.48,0.27,36.00
60617,0.46,0.36,36.30
60618,0.50,0.81,33.50
60619,0.44,0.01,39.80
60620,0.44,0.02,39.60
60621,0.45,0.02,31.20
60622,0.52,0.75,31.30
60623,0.49,0.47,28.50
60624,0.47,0.03,28.80
60625,0.52,0.64,34.00
60626,0.50,0.60,34.40
60628,0.44,0.04,37.70
60629,0.49,0.35,30.40
60630,0.49,0.72,39.30
60631,0.48,0.92,43.50
60632,0.51,0.55,30.70
60633,0.51,0.68,36.90
60634,0.49,0.78,39.00
60636,0.48,0.02,34.30
60637,0.45,0.15,30.00
60638,0.48,0.74,37.70
60639,0.50,0.34,31.30
60640,0.51,0.62,37.40
60641,0.50,0.66,35.70
60642,0.50,0.75,31.50
60643,0.46,0.23,43.80
60644,0.45,0.03,32.70
60645,0.49,0.59,35.80
60646,0.48,0.84,43.80
60647,0.51,0.76,31.40
60649,0.43,0.03,37.70
60651,0.47,0.13,33.40
60652,0.49,0.28,36.20
60653,0.43,0.05,36.20
60654,0.46,0.78,32.50
60655,0.49,0.89,37.80
60656,0.49,0.83,40.10
60657,0.49,0.86,30.90
60659,0.52,0.55,34.30
60660,0.51,0.67,36.80
60661,0.50,0.62,31.00
60706,0.47,0.93,46.80
60707,0.47,0.72,37.80
60712,0.48,0.63,47.00
60714,0.46,0.77,49.50
60803,0.48,0.71,33.70
60804,0.51,0.45,28.50
60805,0.47,0.75,39.60
60827,0.46,0.05,31.00
60901,0.49,0.65,36.40
60910,0.52,0.91,38.20
60911,0.54,0.98,40.00
60912,0.53,0.79,30.70
60913,0.50,0.96,53.30
60914,0.48,0.84,33.40
60915,0.50,0.94,35.50
60917,0.51,0.99,34.50
60918,0.55,0.98,50.30
60919,0.54,0.98,38.20
60920,0.42,0.97,31.50
60921,0.51,0.96,43.80
60922,0.47,0.93,40.70
60924,0.49,0.99,45.60
60926,0.28,1.00,55.40
60927,0.49,0.99,39.80
60928,0.45,0.99,41.10
60929,0.46,0.93,29.40
60930,0.46,0.99,41.00
60931,0.49,0.98,40.80
60932,0.61,1.00,22.70
60933,0.50,0.99,47.90
60934,0.52,0.99,36.60
60935,0.52,0.98,38.20
60936,0.47,0.97,40.80
60938,0.47,0.91,44.40
60940,0.51,0.97,39.20
60941,0.55,0.99,42.50
60942,0.48,0.95,45.50
60945,0.50,0.97,53.60
60946,0.49,0.98,46.20
60948,0.52,0.98,44.70
60949,0.50,0.93,33.50
60950,0.49,0.96,42.20
60951,0.52,0.99,46.70
60952,0.47,0.98,38.20
60953,0.47,0.96,48.10
60954,0.48,0.90,43.70
60955,0.54,0.88,40.40
60957,0.51,0.98,46.90
60958,0.46,0.16,41.30
60959,0.50,0.99,42.80
60960,0.55,0.97,40.10
60961,0.53,0.98,40.60
60962,0.56,0.99,37.70
60963,0.50,0.99,36.60
60964,0.50,0.85,40.00
60966,0.53,0.95,37.60
60968,0.50,0.94,55.10
60969,0.52,1.00,14.50
60970,0.45,0.93,47.20
60973,0.48,0.97,35.10
60974,0.51,0.98,44.80
61001,0.54,0.98,46.70
61006,0.53,0.95,47.10
61007,0.51,0.98,47.40
61008,0.48,0.85,38.50
61010,0.49,0.98,40.20
61011,0.53,0.91,53.20
61012,0.56,0.84,35.80
61013,0.47,0.98,52.80
61014,0.47,0.98,42.40
61015,0.52,1.00,52.80
61016,0.52,0.89,50.20
61018,0.52,0.96,40.60
61019,0.49,0.98,50.50
61020,0.50,0.91,34.20
61021,0.55,0.89,42.80
61024,0.49,0.98,45.40
61025,0.53,0.96,41.00
61027,0.00,1.00,-
61028,0.52,0.99,46.70
61030,0.49,0.94,40.00
61031,0.50,0.97,39.80
61032,0.47,0.80,44.20
61036,0.48,0.98,54.90
61037,0.40,1.00,42.10
61038,0.52,1.00,53.20
61039,0.51,0.99,41.70
61041,0.53,0.94,52.40
61042,0.54,1.00,34.20
61043,0.65,0.83,46.20
61044,0.40,1.00,44.50
61046,0.48,0.96,48.50
61047,0.47,0.97,49.10
61048,0.47,0.98,46.50
61049,0.51,0.94,41.90
61050,0.52,1.00,39.40
61051,0.51,0.97,46.40
61052,0.51,0.99,47.30
61053,0.49,0.97,47.20
61054,0.44,1.00,45.50
61057,0.52,0.85,36.70
61059,0.42,1.00,37.80
61060,0.52,0.99,40.60
61061,0.48,0.98,51.00
61062,0.54,0.99,40.50
61063,0.49,0.96,41.40
61064,0.51,0.99,46.70
61065,0.52,0.93,34.10
61067,0.51,1.00,52.50
61068,0.52,0.89,36.50
61070,0.54,0.98,44.50
61071,0.50,0.92,43.10
61072,0.48,0.96,41.90
61073,0.48,0.94,41.90
61074,0.52,0.93,46.70
61075,0.48,0.99,45.90
61077,0.72,1.00,55.20
61078,0.49,0.95,50.60
61079,0.62,0.95,32.30
61080,0.49,0.93,36.60
61081,0.48,0.89,42.20
61084,0.48,0.98,38.80
61085,0.49,0.99,43.80
61087,0.52,0.98,45.70
61088,0.51,0.95,41.00
61089,0.50,0.99,48.60
61091,0.43,1.00,53.70
61101,0.50,0.52,33.70
61102,0.51,0.52,34.30
61103,0.50,0.74,39.50
61104,0.48,0.58,30.50
61107,0.48,0.81,42.50
61108,0.50,0.81,40.30
61109,0.50,0.75,37.40
61111,0.49,0.91,38.40
61112,0.27,1.00,89.50
61114,0.45,0.84,49.10
61115,0.48,0.92,39.20
61201,0.47,0.72,35.40
61230,0.50,0.98,44.90
61231,0.50,0.98,46.10
61232,0.52,0.98,42.60
61234,0.50,0.94,43.40
61235,0.53,0.99,43.40
61236,0.56,0.75,24.10
61238,0.52,0.96,41.90
61239,0.49,0.67,27.20
61240,0.49,0.97,42.60
61241,0.48,0.96,41.20
61242,0.50,1.00,50.70
61243,0.45,1.00,57.40
61244,0.51,0.76,39.20
61250,0.45,0.90,39.30
61251,0.52,0.97,55.50
61252,0.52,0.96,46.10
61254,0.48,0.97,42.90
61256,0.50,0.94,48.00
61257,0.44,0.96,44.80
61258,0.54,1.00,30.40
61259,0.51,0.91,47.70
61260,0.51,0.99,43.60
61261,0.52,0.96,43.20
61262,0.48,0.99,50.30
61263,0.48,0.93,35.60
61264,0.52,0.95,47.30
61265,0.49,0.86,39.60
61270,0.51,0.96,42.90
61272,0.45,0.97,46.60
61273,0.51,0.98,47.60
61274,0.58,1.00,52.70
61275,0.52,0.97,42.90
61276,0.39,0.51,26.30
61277,0.50,0.97,48.30
61278,0.47,0.93,47.80
61279,0.53,0.98,47.00
61281,0.50,0.97,42.50
61282,0.47,0.82,39.70
61283,0.51,0.98,34.50
61284,0.50,0.96,48.60
61285,0.52,0.99,48.40
61301,0.55,0.96,39.50
61310,0.49,0.98,43.60
61311,0.49,1.00,62.90
61312,0.47,0.96,44.70
61313,0.58,1.00,42.90
61314,0.48,0.96,39.90
61315,0.53,0.93,40.80
61316,0.46,0.94,33.50
61317,0.52,0.97,41.80
61318,0.49,0.81,32.50
61319,0.51,0.99,44.40
61320,0.52,0.94,45.40
61321,0.53,0.93,60.10
61322,0.54,0.76,33.10
61323,0.34,1.00,40.30
61324,0.60,1.00,57.40
61325,0.51,0.99,38.60
61326,0.48,0.97,42.50
61327,0.54,0.98,49.70
61328,0.50,1.00,-
61329,0.46,0.98,41.20
61330,0.52,0.96,48.00
61331,0.55,1.00,-
61332,0.59,0.95,49.90
61333,0.50,0.98,52.90
61334,0.49,0.98,40.50
61335,0.52,0.99,49.70
61336,0.56,0.92,34.30
61337,0.47,0.97,31.70
61338,0.54,0.98,39.20
61340,0.49,0.98,46.00
61341,0.48,0.98,40.70
61342,0.49,0.91,39.90
61344,0.48,0.97,40.00
61345,0.52,0.98,41.80
61346,0.52,0.99,58.60
61348,0.49,0.98,40.90
61349,0.51,0.99,45.90
61350,0.49,0.92,43.00
61353,0.49,0.97,41.30
61354,0.48,0.98,45.00
61356,0.47,0.97,47.10
61358,0.59,0.98,52.90
61359,0.48,0.98,42.80
61360,0.56,0.98,34.90
61361,0.48,0.99,48.30
61362,0.48,0.89,42.10
61363,0.48,0.90,44.10
61364,0.48,0.92,41.20
61367,0.46,1.00,45.70
61368,0.53,0.99,49.50
61369,0.46,0.86,48.10
61370,0.53,0.99,44.60
61372,0.55,1.00,37.00
61373,0.51,0.98,47.90
61374,0.38,1.00,48.30
61375,0.51,0.99,56.60
61376,0.51,0.98,40.60
61377,0.50,0.98,39.50
61378,0.53,0.97,43.40
61379,0.54,0.97,35.60
61401,0.50,0.82,41.40
61410,0.47,0.95,40.40
61411,0.47,1.00,57.30
61412,0.47,0.98,44.80
61413,0.50,0.99,51.70
61414,0.51,0.96,46.00
61415,0.53,0.98,46.00
61416,0.45,0.96,39.20
61417,0.48,1.00,59.70
61418,0.50,0.98,51.50
61419,0.54,0.98,54.70
61420,0.50,0.97,53.00
61421,0.52,0.98,38.30
61422,0.53,0.94,40.30
61423,0.48,1.00,47.40
61424,0.57,1.00,37.50
61425,0.53,1.00,58.50
61426,0.46,1.00,57.10
61427,0.46,0.95,45.20
61428,0.54,0.98,52.50
61430,0.50,0.98,41.80
61431,0.53,0.88,44.40
61432,0.51,0.99,39.80
61434,0.53,0.98,43.90
61435,0.35,1.00,52.10
61436,0.52,0.99,48.20
61437,0.49,0.99,44.40
61438,0.53,0.99,46.90
61439,0.51,0.96,50.00
61440,0.46,0.98,41.10
61441,0.52,0.96,43.10
61442,0.48,0.97,43.60
61443,0.50,0.86,39.00
61447,0.49,1.00,42.80
61448,0.50,0.99,45.80
61449,0.53,1.00,49.10
61450,0.51,0.98,41.40
61451,0.55,0.98,40.90
61452,0.52,1.00,43.00
61453,0.51,1.00,36.60
61454,0.46,0.98,53.60
61455,0.48,0.87,26.20
61458,0.52,1.00,43.30
61459,0.40,0.92,48.30
61460,0.46,0.99,54.80
61462,0.49,0.87,36.30
61465,0.54,0.99,42.00
61466,0.55,1.00,50.00
61467,0.50,0.96,39.30
61468,0.53,1.00,50.80
61469,0.52,0.96,49.40
61470,0.52,0.98,38.30
61471,0.61,0.95,55.50
61472,0.52,0.95,46.30
61473,0.49,0.98,37.90
61474,0.42,1.00,54.30
61475,0.44,1.00,40.90
61476,0.50,1.00,39.80
61477,0.47,1.00,49.60
61478,0.43,0.97,38.70
61479,0.72,1.00,32.50
61480,0.44,0.99,49.10
61482,0.48,0.99,43.50
61483,0.49,0.97,45.10
61484,0.47,0.96,39.00
61485,0.55,1.00,48.60
61486,0.51,0.98,44.00
61488,0.48,0.96,44.50
61489,0.51,1.00,39.90
61490,0.53,0.96,37.60
61491,0.47,0.98,48.40
61501,0.53,0.94,38.00
61516,0.55,0.98,36.40
61517,0.55,0.93,46.00
61519,0.52,0.99,48.50
61520,0.55,0.92,40.20
61523,0.51,0.97,43.00
61524,0.49,1.00,34.60
61525,0.50,0.81,35.90
61526,0.47,0.90,40.00
61528,0.50,0.87,41.80
61529,0.50,0.99,43.30
61530,0.46,0.97,38.50
61531,0.49,0.98,39.20
61532,0.48,1.00,47.20
61533,0.49,0.97,45.10
61534,0.49,0.98,48.40
61535,0.55,0.98,47.90
61536,0.47,0.97,44.80
61537,0.47,0.98,43.10
61539,0.46,0.97,36.90
61540,0.49,0.99,46.80
61541,0.46,1.00,40.70
61542,0.49,0.98,49.40
61543,0.49,1.00,44.60
61544,0.52,0.99,49.80
61545,0.51,0.99,39.70
61546,0.53,0.98,45.20
61547,0.50,0.98,41.10
61548,0.51,0.96,39.70
61550,0.49,0.96,40.70
61552,0.47,1.00,32.50
61553,0.48,1.00,39.30
61554,0.49,0.96,39.70
61559,0.49,0.99,41.20
61560,0.50,1.00,64.00
61561,0.51,0.99,45.20
61562,0.66,1.00,48.40
61563,0.52,0.96,44.20
61564,0.51,1.00,34.00
61565,0.51,0.98,47.40
61567,0.56,0.97,46.80
61568,0.52,0.98,39.60
61569,0.47,0.91,51.60
61570,0.52,0.97,33.00
61571,0.49,0.95,39.30
61572,0.53,0.96,40.90
