GEOID,new_housing_2017
17031010100,3.9
17031010201,1.3
17031010202,9.3
17031010300,3.7
17031010400,0.6
17031010501,2.8
17031010502,1.1
17031010503,13.1
17031010600,4.1
17031010701,0
17031010702,3.8
17031020100,4.7
17031020200,0.5
17031020301,2.9
17031020302,1.2
17031020400,6
17031020500,3.6
17031020601,2.7
17031020602,0
17031020701,6
17031020702,4.5
17031020801,1.5
17031020802,1.6
17031020901,0.5
17031020902,10.6
17031030101,0
17031030102,2.1
17031030103,12.1
17031030104,2.2
17031030200,1.5
17031030300,4.8
17031030400,4.2
17031030500,7.6
17031030601,0.8
17031030603,1.6
17031030604,1.6
17031030701,9.8
17031030702,1.1
17031030703,4.3
17031030706,1.9
17031030800,0
17031030900,3.9
17031031000,11.6
17031031100,4.2
17031031200,8.2
17031031300,6
17031031400,1.8
17031031501,5.5
17031031502,1.9
17031031700,7.2
17031031800,9.4
17031031900,3.4
17031032100,7.4
17031040100,12.2
17031040201,9.9
17031040202,14.4
17031040300,5.5
17031040401,1.7
17031040402,14.1
17031040600,8.9
17031040700,4.8
17031040800,2.6
17031040900,5.4
17031050100,15.4
17031050200,15.7
17031050300,16.6
17031050500,17.3
17031050600,15.4
17031050700,9.9
17031050800,13.1
17031050900,9.5
17031051000,28.9
17031051100,28.5
17031051200,18.1
17031051300,23.3
17031051400,22.8
17031060100,9
17031060200,5.9
17031060300,16.6
17031060400,21.3
17031060500,6.1
17031060800,0.2
17031060900,0
17031061000,35.4
17031061100,26.9
17031061200,7.9
17031061500,4.7
17031061800,1.1
17031061901,1.1
17031061902,2.8
17031062000,5
17031062100,16.9
17031062200,23.6
17031062300,22.2
17031062400,25.4
17031062500,14.4
17031062600,37.4
17031062700,18.7
17031062800,15.2
17031062900,26.6
17031063000,14
17031063100,16.3
17031063200,1.4
17031063301,5.1
17031063302,0.9
17031063303,0.5
17031063400,10.1
17031070101,1.1
17031070102,7.7
17031070103,0.7
17031070200,10.2
17031070300,26.5
17031070400,15
17031070500,17.7
17031070600,22.4
17031070700,25.9
17031071000,3
17031071100,8.6
17031071200,4.7
17031071300,5.9
17031071400,0.8
17031071500,1.3
17031071600,11.1
17031071700,2.1
17031071800,9.6
17031080100,0
17031080201,0.7
17031080202,0
17031080300,36.1
17031080400,28.7
17031081000,9.6
17031081100,7.9
17031081201,23.5
17031081202,1
17031081300,7.6
17031081401,0.5
17031081402,34.6
17031081403,43.9
17031081500,35.9
17031081600,39.3
17031081700,47.9
17031081800,59.3
17031081900,22.2
17031090100,0.7
17031090200,3.8
17031090300,1.1
17031100100,0.7
17031100200,0.8
17031100300,2.3
17031100400,1.1
17031100500,2.8
17031100600,0.4
17031100700,0.7
17031110100,3.4
17031110200,5.4
17031110300,1.5
17031110400,2
17031110501,0.8
17031110502,13.6
17031120100,3.1
17031120200,5.5
17031120300,3
17031120400,2
17031130100,3.6
17031130200,9
17031130300,1
17031140100,7.5
17031140200,1.2
17031140301,3.5
17031140302,2.6
17031140400,0
17031140500,3.1
17031140601,3.7
17031140602,5
17031140701,13.2
17031140702,4.2
17031140800,6.3
17031150200,5.2
17031150300,2.3
17031150401,1.4
17031150402,3
17031150501,1.1
17031150502,4.1
17031150600,0.9
17031150700,0.5
17031150800,0
17031151001,0
17031151002,1.7
17031151100,1.6
17031151200,2.9
17031160100,10.3
17031160200,8
17031160300,1.1
17031160400,6.6
17031160501,2.6
17031160502,4.6
17031160601,8.9
17031160602,9.7
17031160700,8
17031160800,3.9
17031160900,1
17031161000,3
17031161100,17.6
17031161200,11.9
17031161300,2.6
17031170100,22.7
17031170200,0.9
17031170300,0
17031170400,13.3
17031170500,1
17031170600,2.2
17031170700,3.7
17031170800,4.6
17031170900,3.7
17031171000,3.8
17031171100,0
17031180100,14.2
17031190100,21.8
17031190200,1.8
17031190300,1.3
17031190401,11.3
17031190402,0.8
17031190601,4.5
17031190602,1
17031190701,2.3
17031190702,1.8
17031190800,1.6
17031190900,22.6
17031191000,0
17031191100,0
17031191200,0.5
17031191301,2.7
17031191302,1.1
17031200100,2.2
17031200200,2.4
17031200300,3.7
17031200401,0.6
17031200402,1.4
17031210100,24.8
17031210400,3.8
17031210501,0.5
17031210502,2.1
17031210601,2.8
17031210602,8.2
17031210700,0.8
17031210800,7.7
17031210900,26.3
17031220300,11.4
17031220400,3.9
17031220500,11.1
17031220601,1.4
17031220602,0.6
17031220701,0
17031220702,2.7
17031220901,0
17031220902,0
17031221000,0.6
17031221100,4
17031221200,11.8
17031221300,6.2
17031221400,18.9
17031221500,4.8
17031221600,15
17031222200,22.2
17031222500,3.5
17031222600,10.3
17031222700,15.6
17031222800,14.1
17031222900,7.1
17031230100,3.3
17031230200,18.3
17031230300,3.3
17031230400,1.6
17031230500,2.5
17031230600,1.6
17031230700,3.7
17031230800,2.3
17031230900,3.1
17031231100,0
17031231200,3.4
17031231500,2.6
17031240200,14.7
17031240300,9.1
17031240500,28.6
17031240600,32.7
17031240700,24.6
17031240800,12
17031240900,17.4
17031241000,11.5
17031241100,20
17031241200,5.1
17031241300,21.2
17031241400,19.8
17031241500,21.1
17031241600,24.5
17031242000,19.1
17031242100,39.1
17031242200,26.4
17031242300,12.7
17031242400,0
17031242500,17.8
17031242600,12.2
17031242700,8.5
17031242800,13.1
17031242900,10.6
17031243000,18.9
17031243100,14.4
17031243200,15
17031243300,24.8
17031243400,28.2
17031243500,45.6
17031250200,1.5
17031250300,20.8
17031250400,0
17031250500,2.5
17031250600,0
17031250700,1.4
17031250800,0
17031251000,0
17031251100,1.5
17031251200,7.3
17031251300,3.2
17031251400,0
17031251500,0.5
17031251600,2.9
17031251700,1.3
17031251800,2.1
17031251900,3.8
17031252000,9.6
17031252101,0
17031252102,4.1
17031252201,0
17031252202,11.6
17031260100,8.5
17031260200,1
17031260300,5.9
17031260400,2.9
17031260500,9.1
17031260600,3.3
17031260700,3.5
17031260800,0
17031260900,5.1
17031261000,2
17031270500,9.5
17031271200,6.3
17031271300,3.9
17031271400,0
17031271500,0
17031271800,1.3
17031280100,74.1
17031280400,60.5
17031280800,50.3
17031280900,30.2
17031281900,25.1
17031282700,41.2
17031282800,14.9
17031283100,5
17031283200,48.6
17031283800,35.5
17031290900,30.2
17031291200,17
17031291600,6.8
17031292200,7.1
17031292400,0
17031292500,0
17031300500,2.1
17031300600,0
17031300700,0
17031300800,1.8
17031300900,1.6
17031301100,1.3
17031301200,0.7
17031301600,0.4
17031301701,0
17031301702,0
17031301801,0
17031301802,1.7
17031301803,0
17031310200,17.1
17031310300,31.9
17031310400,16.7
17031310500,0
17031310600,7.4
17031310700,5.3
17031310800,4
17031310900,3.8
17031320100,39.3
17031320400,46
17031320600,49.3
17031330100,67.7
17031330200,24.2
17031340300,5.4
17031340400,21.5
17031340500,9.8
17031340600,0
17031350100,2.3
17031350400,3.5
17031351000,3.9
17031351100,8.2
17031351400,16.5
17031351500,83.5
17031360200,50.4
17031380100,45.3
17031380200,11
17031380500,94.4
17031380700,43.4
17031381200,7.4
17031381400,19.6
17031381500,12.1
17031381700,0
17031381800,19.8
17031381900,14
17031390100,27.6
17031390200,37.6
17031390300,2.8
17031390400,17.6
17031390500,0.7
17031390600,0
17031390700,1.3
17031400300,7
17031400400,20.3
17031400500,2.9
17031400800,6.2
17031410100,3.2
17031410200,2.8
17031410500,3.2
17031410600,4.9
17031410700,0
17031410800,3.8
17031410900,0
17031411000,1.8
17031411100,0.3
17031411200,0.6
17031420100,6.2
17031420200,10
17031420300,8.4
17031420400,3.9
17031420500,4.9
17031420600,4.3
17031420700,0
17031420800,22.7
17031421200,0
17031430101,4.1
17031430102,4.9
17031430200,0
17031430300,4.5
17031430400,8.4
17031430500,2.3
17031430600,9.3
17031430700,0
17031430800,0.4
17031430900,0
17031431200,0.4
17031431301,1
17031431302,8.1
17031431400,2
17031440101,2.6
17031440102,3.2
17031440201,1.6
17031440202,6.6
17031440300,0.5
17031440600,2.8
17031440700,2
17031440800,4.5
17031440900,4.5
17031450300,0
17031460100,0
17031460200,0
17031460301,2.7
17031460302,0.9
17031460400,2.6
17031460500,3.5
17031460600,0.4
17031460700,0
17031461000,12.5
17031470100,15.4
17031480100,0
17031480200,2.2
17031480300,6.7
17031480400,2.3
17031480500,0
17031490300,0
17031490400,0
17031490500,0.6
17031490600,2.6
17031490700,1
17031490800,1.5
17031490901,4.2
17031490902,14.7
17031491000,14.2
17031491100,1.1
17031491200,1.8
17031491300,0
17031491400,5.6
17031500100,0
17031500200,0
17031500300,0
17031510100,0
17031510200,1.4
17031510300,0.6
17031520100,0
17031520200,1.3
17031520300,1.9
17031520400,0
17031520500,2.1
17031520600,1.7
17031530100,5.5
17031530200,1.8
17031530300,0.6
17031530400,7.6
17031530501,5.2
17031530502,0
17031530503,2.8
17031530600,0.8
17031540101,2.4
17031540102,3.1
17031550100,7.6
17031550200,6.5
17031560100,4.5
17031560200,3.8
17031560300,0
17031560400,3.5
17031560700,3.9
17031560800,2
17031560900,1.9
17031561000,5.2
17031561100,3.2
17031570100,0
17031570200,0
17031570300,0
17031570400,0
17031570500,1.8
17031580100,20.4
17031580200,3.1
17031580300,6.5
17031580400,0.7
17031580501,2
17031580502,2.1
17031580600,1
17031580700,5.2
17031580800,1.2
17031590500,17.3
17031590600,0
17031590700,6.4
17031600400,12
17031600600,8.8
17031600700,20
17031600900,5.2
17031610300,5.2
17031610400,2.5
17031610800,9
17031611000,1.6
17031611100,1.5
17031611200,1
17031611300,0.9
17031611400,3.2
17031611500,20.4
17031611600,1.4
17031611700,0
17031611800,0
17031611900,4.9
17031612000,1.4
17031612100,17.5
17031620100,3
17031620200,3.1
17031620300,0.3
17031620400,2.9
17031630100,1.1
17031630200,5.8
17031630300,0.5
17031630400,0.3
17031630500,0
17031630800,0
17031630900,2.1
17031640100,1.4
17031640300,3.8
17031640400,1.9
17031640500,9.5
17031640600,5.4
17031640700,0
17031640800,0
17031650100,0
17031650200,0
17031650301,1.6
17031650302,0
17031650400,0
17031650500,12.9
17031660301,0
17031660302,0.5
17031660400,0
17031660500,4.7
17031660600,0.3
17031660700,0
17031660800,0
17031660900,0.5
17031661000,2.3
17031661100,0.4
17031670100,3.1
17031670200,0
17031670300,1
17031670400,0
17031670500,1.3
17031670600,2.9
17031670700,3.6
17031670800,1.4
17031670900,4.7
17031671100,4.3
17031671200,4.2
17031671300,2.1
17031671400,6.8
17031671500,0.5
17031671600,14.5
17031671800,0
17031671900,1.8
17031672000,0
17031680500,5.4
17031680600,0
17031680900,7.8
17031681000,14.2
17031681100,3.5
17031681200,7.1
17031681300,1.4
17031681400,0.8
17031690300,0
17031690400,0
17031690500,0
17031690900,3.9
17031691000,0
17031691100,0
17031691200,1.3
17031691300,0
17031691400,1.5
17031691500,4.3
17031700100,2.1
17031700200,2.4
17031700301,0
17031700302,0
17031700401,0.8
17031700402,4.1
17031700501,4.9
17031700502,3.7
17031710100,20.5
17031710200,0
17031710300,6
17031710400,3.9
17031710500,0
17031710600,0.4
17031710700,5.4
17031710800,3.6
17031710900,20.4
17031711000,0
17031711100,2.3
17031711200,1.7
17031711300,0
17031711400,0
17031711500,1.3
17031720100,1.5
17031720200,2.2
17031720300,0
17031720400,0
17031720500,4.5
17031720600,1.5
17031720700,4.2
17031730100,0
17031730201,5.1
17031730202,0
17031730300,4.4
17031730400,0.9
17031730500,0.5
17031730600,7
17031730700,5.9
17031740100,4.1
17031740200,2.4
17031740300,4.8
17031740400,2.9
17031750100,4
17031750200,0.8
17031750300,1.5
17031750400,0.6
17031750500,10.8
17031750600,1.6
17031760801,11.1
17031760802,1.3
17031760803,1.4
17031770201,6.4
17031770202,0.7
17031770300,1
17031770400,4
17031770500,12.7
17031770601,5.2
17031770602,9.6
17031770700,2.3
17031770800,2.4
17031770901,12.4
17031770902,3.4
17031800100,21.7
17031800200,12.7
17031800300,11
17031800400,13.7
17031800500,12
17031800600,4.6
17031800700,9.7
17031800800,1.3
17031800900,4.1
17031801000,7.9
17031801100,8.4
17031801200,2.4
17031801300,10
17031801400,7.4
17031801500,11.5
17031801601,19.7
17031801603,13.3
17031801605,1.5
17031801606,11.5
17031801607,11
17031801608,14.2
17031801701,7.9
17031801702,23.7
17031801800,8.6
17031801901,21.1
17031801902,23.1
17031802002,13.2
17031802003,2.1
17031802004,6.1
17031802100,10.7
17031802200,13.8
17031802300,86.1
17031802402,21.9
17031802403,0.6
17031802404,8.9
17031802503,2.2
17031802504,0.3
17031802505,17.1
17031802506,0
17031802605,10
17031802607,6.1
17031802608,2.2
17031802609,1.5
17031802610,2.3
17031802701,7.8
17031802702,7.3
17031802801,6
17031802802,1.8
17031802900,7.5
17031803005,4.7
17031803007,6.9
17031803008,0.5
17031803010,0.3
17031803012,0.9
17031803013,3
17031803014,0.6
17031803015,1.6
17031803016,1.3
17031803017,14
17031803100,12.3
17031803200,5.9
17031803300,11.3
17031803400,7.9
17031803500,2.8
17031803603,8.1
17031803604,1.3
17031803605,1.7
17031803606,0.7
17031803607,0.4
17031803608,4.3
17031803610,11.1
17031803611,0
17031803612,4.1
17031803701,23
17031803702,28.6
17031803800,7.1
17031803901,9.3
17031803902,0.7
17031804000,8.1
17031804102,7.5
17031804104,3.7
17031804105,0.7
17031804106,5.6
17031804108,5.2
17031804109,4.2
17031804201,20
17031804202,17.9
17031804305,1.1
17031804306,0
17031804308,0
17031804309,1.5
17031804310,13
17031804311,38.9
17031804403,25.2
17031804404,6.9
17031804405,9.9
17031804406,21.4
17031804505,15.1
17031804506,25
17031804507,40
17031804508,19
17031804509,1.3
17031804510,0.5
17031804511,16.2
17031804603,0.6
17031804606,1
17031804607,4.1
17031804608,7
17031804609,1.9
17031804610,11.6
17031804611,0.8
17031804701,3.7
17031804705,1
17031804706,0.5
17031804709,12.8
17031804710,0.8
17031804711,3
17031804712,0
17031804713,1.4
17031804714,4.3
17031804715,0
17031804716,0.9
17031804803,10.5
17031804804,6.1
17031804805,3.3
17031804806,0
17031804807,0.7
17031804808,0.5
17031804809,0.7
17031804810,0
17031804901,17.3
17031804902,1.3
17031805001,2.9
17031805002,1.8
17031805105,1.3
17031805106,0
17031805107,2.7
17031805108,0.8
17031805109,2.4
17031805110,2.4
17031805111,8.5
17031805112,1.2
17031805201,1.8
17031805202,11.2
17031805301,1.8
17031805302,0
17031805401,2
17031805402,1
17031805501,17.2
17031805502,11.9
17031805600,8.7
17031805701,7.8
17031805702,4.9
17031805801,2.5
17031805802,10.5
17031805901,19.4
17031805902,8.6
17031806001,2.4
17031806002,2.7
17031806003,2.8
17031806004,6.5
17031806102,14.9
17031806103,1.6
17031806104,5.8
17031806201,42.4
17031806202,15.2
17031806300,3.1
17031806400,3.4
17031806501,0.4
17031806502,2.4
17031806600,8.7
17031806700,5
17031806801,3
17031806802,0.6
17031806900,26.8
17031807000,3.9
17031807100,3.5
17031807200,0.9
17031807300,13.1
17031807400,3.3
17031807500,0
17031807600,2.3
17031807700,7.7
17031807800,2.7
17031807900,9
17031808001,6.4
17031808002,6.7
17031808100,11.3
17031808200,2.6
17031808301,29.4
17031808302,3
17031808400,8.2
17031808500,1.6
17031808600,22.3
17031808702,4.5
17031808800,5.1
17031808900,2.7
17031809000,2.9
17031809100,9.6
17031809200,7.4
17031809300,8.5
17031809400,33.2
17031809500,20.4
17031809600,5.8
17031809700,1.9
17031809800,2.3
17031809900,22.9
17031810000,8.8
17031810100,3.5
17031810200,5
17031810301,0.8
17031810302,2.5
17031810400,6.2
17031810501,9.2
17031810502,8.4
17031810600,8.5
17031810701,4.2
17031810702,8.3
17031810800,1.2
17031810900,5.1
17031811000,0.6
17031811100,4.8
17031811200,0.9
17031811301,3.4
17031811302,0.6
17031811401,7
17031811402,3
17031811500,0.9
17031811600,15
17031811701,0.7
17031811702,1.1
17031811800,2.8
17031811900,1.6
17031812000,1.9
17031812100,1.3
17031812200,2
17031812301,15.4
17031812302,2.5
17031812400,0.7
17031812500,1.8
17031812600,3.9
17031812700,1.4
17031812801,6.1
17031812802,3.2
17031812900,4.7
17031813000,0.9
17031813100,3.3
17031813200,0.7
17031813301,1
17031813302,1.9
17031813400,2.5
17031813500,0.5
17031813600,0
17031813701,0.9
17031813702,0.9
17031813801,0
17031813802,2.6
17031813900,0
17031814000,0
17031814100,0
17031814200,2.1
17031814300,5.6
17031814400,2.1
17031814500,4.3
17031814600,2.2
17031814700,0.4
17031814800,0
17031814900,0
17031815000,0
17031815100,0
17031815200,3.8
17031815300,2.7
17031815400,3.3
17031815500,1.4
17031815600,0.5
17031815701,5.1
17031815702,2
17031815800,1.7
17031815900,4.5
17031816000,13.5
17031816100,2.2
17031816200,26.1
17031816300,4.8
17031816401,7.4
17031816402,3.6
17031816500,8.3
17031816600,12.3
17031816700,11.7
17031816800,3.2
17031816900,0.4
17031817000,3.9
17031817101,4.4
17031817102,2.4
17031817200,5.7
17031817300,2.3
17031817400,1.8
17031817500,6.6
17031817600,0.8
17031817700,0.6
17031817900,0
17031818000,0
17031818100,0.8
17031818200,0
17031818300,0
17031818401,0.7
17031818402,0.7
17031818500,5.9
17031818600,0.7
17031818700,8.6
17031818800,1.5
17031818900,9.3
17031819000,5.5
17031819100,17.2
17031819200,0.4
17031819300,1.9
17031819400,0.9
17031819500,10.6
17031819600,3.3
17031819700,11.8
17031819801,12
17031819802,7.2
17031819900,21.8
17031820000,21.4
17031820101,3.5
17031820103,8.9
17031820104,8.7
17031820201,26.5
17031820202,7.5
17031820300,4.6
17031820400,7.1
17031820501,5.6
17031820502,10.5
17031820603,21.4
17031820604,4.7
17031820605,3.3
17031820606,32.1
17031820700,0.7
17031820800,12.4
17031820901,6.3
17031820902,5
17031821001,7.1
17031821002,3.6
17031821101,12.2
17031821102,7.4
17031821200,4.4
17031821300,6.8
17031821401,6.8
17031821402,10.8
17031821500,4.1
17031821600,1.9
17031821700,3
17031821800,1.4
17031821900,0
17031822000,0
17031822101,11.9
17031822102,5.6
17031822200,0
17031822301,8.7
17031822302,11.4
17031822400,2.2
17031822500,4.2
17031822601,1.5
17031822602,7.7
17031822701,0
17031822702,1
17031822801,2.1
17031822802,1.2
17031822900,0
17031823001,3.6
17031823002,1.7
17031823101,7.3
17031823102,2.3
17031823200,12.2
17031823302,2
17031823303,1
17031823304,8.3
17031823400,6.7
17031823500,1.4
17031823602,10.5
17031823603,7.8
17031823604,21.8
17031823605,5.3
17031823702,6.6
17031823703,20.7
17031823704,1.4
17031823705,2.2
17031823801,12.2
17031823803,5.9
17031823805,1.2
17031823806,3.4
17031823901,21.7
17031823903,4.9
17031823904,3.1
17031824003,22.8
17031824004,19.2
17031824005,23
17031824006,36.3
17031824105,11.7
17031824106,4.9
17031824107,7.2
17031824108,17
17031824113,26.8
17031824114,30.8
17031824115,3.6
17031824116,17.1
17031824117,33.6
17031824119,29.6
17031824120,32.8
17031824121,3.8
17031824122,8
17031824123,4
17031824300,9.4
17031824400,28
17031824503,9.7
17031824505,6.4
17031824506,13.9
17031824507,2.9
17031824601,8.1
17031824602,4.6
17031824701,6.2
17031824702,2.8
17031824800,8.5
17031824900,17.6
17031825000,4.5
17031825200,7.5
17031825302,10.5
17031825303,12.2
17031825304,5.2
17031825400,7
17031825501,7.5
17031825503,0.4
17031825504,0.9
17031825505,8.7
17031825600,18.6
17031825700,6.7
17031825801,1.3
17031825802,1.3
17031825803,16.3
17031825900,2.7
17031826000,12.8
17031826100,1.3
17031826201,6.6
17031826202,4.1
17031826301,3.2
17031826303,4.8
17031826304,4.6
17031826401,0
17031826402,2.1
17031826500,0.1
17031826600,1.8
17031826700,1.4
17031826800,14.1
17031826901,0
17031826902,0
17031827000,0.9
17031827100,5.3
17031827200,4.7
17031827300,0
17031827400,11.1
17031827500,4.8
17031827600,0
17031827700,2.8
17031827801,0
17031827802,0
17031827804,2.7
17031827805,0
17031827901,9.5
17031827902,4.9
17031828000,5.3
17031828100,1.1
17031828201,19.7
17031828202,0.4
17031828300,0.8
17031828401,0
17031828402,4.8
17031828503,10.3
17031828504,10.1
17031828505,15.5
17031828506,24.2
17031828601,4.2
17031828602,0
17031828701,8.5
17031828702,1.2
17031828801,0.4
17031828802,0
17031828900,7.8
17031829000,9
17031829100,0.6
17031829200,4.1
17031829301,4.1
17031829302,0.7
17031829401,1.5
17031829402,0
17031829500,2.2
17031829600,10.4
17031829700,7.6
17031829800,0.9
17031829901,35.5
17031829902,5.7
17031830001,20
17031830003,31.9
17031830004,23.6
17031830005,8.3
17031830006,15.5
17031830007,10.6
17031830008,24.1
17031830100,2
17031830201,6.2
17031830202,23.7
17031830300,12.1
17031830400,0
17031830500,3.4
17031830600,3.7
17031830700,15.2
17031830800,3.3
17031830900,25.2
17031831000,31.3
17031831100,4.2
17031831200,0
17031831300,0
17031831400,0
17031831500,24.5
17031831600,8.7
17031831700,12
17031831800,5.5
17031831900,18.5
17031832000,21.5
17031832100,11.4
17031832200,12.8
17031832300,29.1
17031832400,21
17031832500,9
17031832600,10.3
17031832900,1.6
17031833000,42.6
17031833100,51.7
17031833300,6.5
17031833900,3.3
17031834000,6.1
17031834200,0.4
17031834300,13.2
17031834400,17.1
17031834500,7.4
17031834600,2.3
17031834700,16.5
17031834800,5.4
17031834900,3.7
17031835000,7.1
17031835100,0.7
17031835200,0.6
17031835500,3.1
17031835600,1
17031835700,71.3
17031835800,29.4
17031835900,38.4
17031836000,30.9
17031836100,23.7
17031836200,5.6
17031836300,0
17031836400,49.5
17031836500,34.7
17031836600,16.6
17031836700,18.2
17031836800,7.1
17031836900,17.8
17031837000,9.9
17031837100,26.5
17031837300,18.7
17031837400,9.8
17031837800,36
17031838000,34.7
17031838100,9.4
17031838200,0
17031838300,58.6
17031838600,14.3
17031838700,8.2
17031838800,0
17031839000,33.7
17031839100,43
17031839200,8.3
17031839500,7.8
17031839600,25.6
17031839700,12
17031839800,5
17031839900,19.7
17031840000,18.8
17031840100,7.2
17031840200,16.6
17031840300,4.7
17031840400,9
17031840700,0
17031840800,0.6
17031841000,66.2
17031841100,15.5
17031841200,0.7
17031841300,5.7
17031841400,7.4
17031841500,16
17031841600,12.1
17031841700,1.1
17031841800,5.7
17031841900,51.1
17031842000,41.7
17031842100,0.5
17031842200,69
17031842300,38.6
17031842400,6.4
17031842500,3.9
17031842600,12.5
17031842800,0
17031842900,23.5
17031843000,17.3
17031843100,3.1
17031843200,1.5
17031843300,18.2
17031843400,0
17031843500,0
17031843600,26.9
17031843700,26.5
17031843800,10.4
17031843900,3.3
17031980000,0
17031980100,0
17031990000,0