GEOID,vacancies_2018
17031010100,12.8
17031010201,9.9
17031010202,12.3
17031010300,10.7
17031010400,11.3
17031010501,8.6
17031010502,16
17031010503,23.1
17031010600,12.9
17031010701,14.4
17031010702,9.2
17031020100,10.4
17031020200,6.4
17031020301,9.4
17031020302,8.9
17031020400,9
17031020500,12.8
17031020601,8.9
17031020602,9.7
17031020701,15.1
17031020702,9
17031020801,6.8
17031020802,7.4
17031020901,14.8
17031020902,7.4
17031030101,21
17031030102,16.3
17031030103,22.6
17031030104,6
17031030200,8.6
17031030300,4.8
17031030400,7.8
17031030500,11.9
17031030601,8.4
17031030603,10.5
17031030604,11.8
17031030701,8.1
17031030702,13.2
17031030703,11.2
17031030706,10.2
17031030800,9.3
17031030900,10.6
17031031000,4.7
17031031100,4.7
17031031200,11.5
17031031300,7.1
17031031400,15.2
17031031501,8.9
17031031502,5.8
17031031700,9.3
17031031800,5.4
17031031900,5.2
17031032100,13.5
17031040100,10.8
17031040201,5.9
17031040202,8.2
17031040300,6.3
17031040401,7.4
17031040402,4.9
17031040600,13.2
17031040700,7.7
17031040800,3.6
17031040900,16
17031050100,10.2
17031050200,9
17031050300,4.8
17031050500,10.8
17031050600,8.4
17031050700,5
17031050800,3.9
17031050900,19
17031051000,9.4
17031051100,15.5
17031051200,8.6
17031051300,6.4
17031051400,43.9
17031060100,6.6
17031060200,5.3
17031060300,3.2
17031060400,6.7
17031060500,6.2
17031060800,12.2
17031060900,9.1
17031061000,6.5
17031061100,16.9
17031061200,15.4
17031061500,8.9
17031061800,5.2
17031061901,8.9
17031061902,9.4
17031062000,6.5
17031062100,9.6
17031062200,11
17031062300,3.1
17031062400,10
17031062500,9.5
17031062600,2.6
17031062700,14.5
17031062800,10.5
17031062900,8.8
17031063000,5
17031063100,1.4
17031063200,5.7
17031063301,3.9
17031063302,11.4
17031063303,15.7
17031063400,14.3
17031070101,11.8
17031070102,10
17031070103,9.4
17031070200,8.4
17031070300,10.4
17031070400,4.4
17031070500,4.8
17031070600,11.6
17031070700,17.7
17031071000,10.5
17031071100,2.1
17031071200,3.1
17031071300,7.4
17031071400,8.2
17031071500,7.7
17031071600,10.7
17031071700,6.9
17031071800,0
17031080100,14.3
17031080201,14.1
17031080202,18.5
17031080300,3.2
17031080400,7
17031081000,19.2
17031081100,13.5
17031081201,23.1
17031081202,22.3
17031081300,21.2
17031081401,16.8
17031081402,24.6
17031081403,15.2
17031081500,27
17031081600,14.9
17031081700,14
17031081800,4.6
17031081900,56.9
17031090100,4.5
17031090200,6.8
17031090300,8.5
17031100100,10.2
17031100200,4.4
17031100300,8.2
17031100400,1.7
17031100500,1.9
17031100600,4.4
17031100700,7.1
17031110100,10.5
17031110200,4.1
17031110300,3
17031110400,8.2
17031110501,6.1
17031110502,7.4
17031120100,4.6
17031120200,0.4
17031120300,4.1
17031120400,5.4
17031130100,4.5
17031130200,2.2
17031130300,8.3
17031140100,10.4
17031140200,12.4
17031140301,16.5
17031140302,10.8
17031140400,6
17031140500,6.2
17031140601,4.6
17031140602,12.2
17031140701,7.9
17031140702,6.6
17031140800,12.1
17031150200,15.6
17031150300,8
17031150401,7.6
17031150402,15.1
17031150501,5.7
17031150502,9.4
17031150600,11.9
17031150700,10.8
17031150800,8.9
17031151001,14
17031151002,8.1
17031151100,5.4
17031151200,9.7
17031160100,5.7
17031160200,10.7
17031160300,7.8
17031160400,13.1
17031160501,19.2
17031160502,11.5
17031160601,9.8
17031160602,11.4
17031160700,8.8
17031160800,10.7
17031160900,4.7
17031161000,10.2
17031161100,6.3
17031161200,9.5
17031161300,11.9
17031170100,7.8
17031170200,8.3
17031170300,8.3
17031170400,4.9
17031170500,3.6
17031170600,2.5
17031170700,6.5
17031170800,5.1
17031170900,2.5
17031171000,6.8
17031171100,8.8
17031180100,5.2
17031190100,4.9
17031190200,11.6
17031190300,12.3
17031190401,9.6
17031190402,6.2
17031190601,10.6
17031190602,9.9
17031190701,13.1
17031190702,9.8
17031190800,5.6
17031190900,0
17031191000,7.1
17031191100,7
17031191200,9.3
17031191301,8.5
17031191302,9.9
17031200100,5.7
17031200200,8.4
17031200300,16.4
17031200401,5.6
17031200402,14.6
17031210100,14.4
17031210400,11.9
17031210501,16.8
17031210502,15.7
17031210601,16
17031210602,12.4
17031210700,11.5
17031210800,6.1
17031210900,8.1
17031220300,7.9
17031220400,10.9
17031220500,7.9
17031220601,8.4
17031220602,7
17031220701,11.1
17031220702,13
17031220901,13.2
17031220902,15.3
17031221000,9
17031221100,7.3
17031221200,6.3
17031221300,9.7
17031221400,8.9
17031221500,11.7
17031221600,7.6
17031222200,5.6
17031222500,5.4
17031222600,10.8
17031222700,9.6
17031222800,11.6
17031222900,19.7
17031230100,7.6
17031230200,11.3
17031230300,8.4
17031230400,12.8
17031230500,7.7
17031230600,11
17031230700,13.1
17031230800,12.3
17031230900,13.7
17031231100,8.5
17031231200,14.8
17031231500,22
17031240200,2.2
17031240300,14.2
17031240500,0
17031240600,4.1
17031240700,1.6
17031240800,12.6
17031240900,14.5
17031241000,17.5
17031241100,7.8
17031241200,11.9
17031241300,6.7
17031241400,4.1
17031241500,0.5
17031241600,5.4
17031242000,6
17031242100,2.4
17031242200,14.1
17031242300,8.8
17031242400,16.6
17031242500,8.5
17031242600,12.6
17031242700,5.5
17031242800,8
17031242900,10.8
17031243000,4
17031243100,10.2
17031243200,13.5
17031243300,10.5
17031243400,10
17031243500,9.7
17031250200,13.4
17031250300,15
17031250400,18.7
17031250500,6.2
17031250600,6.5
17031250700,12.3
17031250800,10.8
17031251000,12.6
17031251100,15.8
17031251200,13
17031251300,25.2
17031251400,7.4
17031251500,21.3
17031251600,19
17031251700,23.4
17031251800,16.8
17031251900,21.2
17031252000,13.6
17031252101,19.5
17031252102,11.4
17031252201,11.4
17031252202,18.6
17031260100,37.6
17031260200,26.2
17031260300,17
17031260400,29
17031260500,22.9
17031260600,38.8
17031260700,30.7
17031260800,13
17031260900,31.5
17031261000,28
17031270500,15
17031271200,19.9
17031271300,11.2
17031271400,23.3
17031271500,14.7
17031271800,33.1
17031280100,10.1
17031280400,1
17031280800,22.8
17031280900,10.6
17031281900,12.2
17031282700,24.8
17031282800,12.1
17031283100,12.4
17031283200,4.4
17031283800,4.8
17031290900,33.8
17031291200,18
17031291600,22.1
17031292200,23.2
17031292400,31.8
17031292500,16.8
17031300500,16.5
17031300600,12
17031300700,16.1
17031300800,19
17031300900,16.3
17031301100,12.8
17031301200,15
17031301600,8.9
17031301701,15.6
17031301702,5
17031301801,12.4
17031301802,12.4
17031301803,10.7
17031310200,13.5
17031310300,8.7
17031310400,8.4
17031310500,16.3
17031310600,12.2
17031310700,12.5
17031310800,8.7
17031310900,7.3
17031320100,18.1
17031320400,30.4
17031320600,13.7
17031330100,7.4
17031330200,4.9
17031340300,8.9
17031340400,9.5
17031340500,7.1
17031340600,5.9
17031350100,11
17031350400,5.7
17031351000,7.8
17031351100,5
17031351400,6.3
17031351500,8.3
17031360200,13.4
17031380100,14.8
17031380200,9.6
17031380500,4.6
17031380700,26.7
17031381200,17.4
17031381400,16
17031381500,35.5
17031381700,-
17031381800,13.9
17031381900,20.4
17031390100,3.1
17031390200,10.5
17031390300,8.9
17031390400,16.4
17031390500,15.3
17031390600,14.5
17031390700,12.7
17031400300,15
17031400400,20.5
17031400500,27.6
17031400800,20.1
17031410100,8.9
17031410200,7.3
17031410500,12.3
17031410600,10.2
17031410700,10.7
17031410800,5.5
17031410900,6
17031411000,14.3
17031411100,13.3
17031411200,11
17031420100,5.9
17031420200,16.6
17031420300,9.3
17031420400,9.9
17031420500,29.7
17031420600,21.5
17031420700,34.7
17031420800,26.9
17031421200,38.4
17031430101,27.8
17031430102,6.2
17031430200,6.9
17031430300,26.5
17031430400,24
17031430500,27.9
17031430600,14.7
17031430700,12
17031430800,24.7
17031430900,16.1
17031431200,16.7
17031431301,32.3
17031431302,34.3
17031431400,19.7
17031440101,24.1
17031440102,21.6
17031440201,19.6
17031440202,10
17031440300,15.9
17031440600,12.9
17031440700,11.8
17031440800,19.8
17031440900,20.2
17031450300,16.1
17031460100,37
17031460200,28.3
17031460301,27.9
17031460302,29.7
17031460400,25
17031460500,13
17031460600,22.1
17031460700,28.7
17031461000,22.8
17031470100,21
17031480100,5.2
17031480200,19.7
17031480300,14.1
17031480400,14.1
17031480500,14.5
17031490300,10.2
17031490400,25.8
17031490500,15.7
17031490600,8.6
17031490700,18.7
17031490800,10.3
17031490901,21.6
17031490902,14.8
17031491000,35.6
17031491100,14.6
17031491200,19.1
17031491300,35.5
17031491400,27.1
17031500100,1.9
17031500200,18.5
17031500300,24.8
17031510100,17.1
17031510200,6.9
17031510300,12
17031520100,28.6
17031520200,20.5
17031520300,13.4
17031520400,10.3
17031520500,4.1
17031520600,5.9
17031530100,21.5
17031530200,36.1
17031530300,11.4
17031530400,9.1
17031530501,26.1
17031530502,12.2
17031530503,12.4
17031530600,23.3
17031540101,23.4
17031540102,17.7
17031550100,14.9
17031550200,6.9
17031560100,5.3
17031560200,4.3
17031560300,5.6
17031560400,0
17031560700,7.5
17031560800,5.7
17031560900,3.6
17031561000,2.4
17031561100,7.8
17031570100,6.5
17031570200,3.2
17031570300,12.7
17031570400,10.4
17031570500,9.6
17031580100,15.7
17031580200,10.1
17031580300,5.7
17031580400,5.6
17031580501,11.9
17031580502,10
17031580600,14.3
17031580700,13.1
17031580800,8.7
17031590500,10.9
17031590600,9.5
17031590700,4
17031600400,3.8
17031600600,4.7
17031600700,8.8
17031600900,16.5
17031610300,10.8
17031610400,22.3
17031610800,13.3
17031611000,23.3
17031611100,19.9
17031611200,12.5
17031611300,22
17031611400,22.1
17031611500,17.3
17031611600,11.6
17031611700,24.4
17031611800,23.3
17031611900,29.2
17031612000,34
17031612100,38.9
17031620100,3.4
17031620200,6.2
17031620300,4
17031620400,10.8
17031630100,18.7
17031630200,4.3
17031630300,12.8
17031630400,6.4
17031630500,9.9
17031630800,6
17031630900,7.9
17031640100,4.7
17031640300,2.9
17031640400,7.1
17031640500,1.4
17031640600,6.4
17031640700,4.5
17031640800,3.5
17031650100,5.3
17031650200,7.4
17031650301,5.3
17031650302,6
17031650400,2.3
17031650500,13.6
17031660301,18.9
17031660302,11.8
17031660400,8.5
17031660500,9.7
17031660600,15.4
17031660700,16
17031660800,24.5
17031660900,24.9
17031661000,14.2
17031661100,5.1
17031670100,34.3
17031670200,38.2
17031670300,28.7
17031670400,21.2
17031670500,26.2
17031670600,30.3
17031670700,30.3
17031670800,24.9
17031670900,23.1
17031671100,31.7
17031671200,38.6
17031671300,25.5
17031671400,23.2
17031671500,30.1
17031671600,27.4
17031671800,19.4
17031671900,30.2
17031672000,10.4
17031680500,33.1
17031680600,43.5
17031680900,21.5
17031681000,32.6
17031681100,43.8
17031681200,33.9
17031681300,44.6
17031681400,37.1
17031690300,15
17031690400,27.3
17031690500,35.8
17031690900,24.9
17031691000,15.4
17031691100,26.1
17031691200,19
17031691300,12
17031691400,26.9
17031691500,21.2
17031700100,5.7
17031700200,3.4
17031700301,2.5
17031700302,4.9
17031700401,4.8
17031700402,1.9
17031700501,8
17031700502,4.8
17031710100,22.5
17031710200,23.9
17031710300,16
17031710400,16.9
17031710500,20.8
17031710600,20.8
17031710700,22.2
17031710800,17.6
17031710900,16.9
17031711000,27.5
17031711100,19.9
17031711200,7.4
17031711300,12.1
17031711400,12.4
17031711500,11.7
17031720100,4.1
17031720200,6.3
17031720300,2.2
17031720400,8.5
17031720500,4.4
17031720600,5
17031720700,11.1
17031730100,8.1
17031730201,13.5
17031730202,0
17031730300,11.4
17031730400,5.3
17031730500,11.1
17031730600,12.2
17031730700,17.5
17031740100,9.6
17031740200,3.2
17031740300,2
17031740400,5.1
17031750100,13
17031750200,11.5
17031750300,6.8
17031750400,3.4
17031750500,11.8
17031750600,11.9
17031760801,8.3
17031760802,4.8
17031760803,8.7
17031770201,2
17031770202,5.1
17031770300,6.1
17031770400,1.6
17031770500,7.7
17031770601,0.8
17031770602,6.8
17031770700,14.1
17031770800,6
17031770901,4.2
17031770902,11
17031800100,7.4
17031800200,8.7
17031800300,6.2
17031800400,9.6
17031800500,7.2
17031800600,7.3
17031800700,6.4
17031800800,12.3
17031800900,10.2
17031801000,7.4
17031801100,1.8
17031801200,9
17031801300,4.2
17031801400,3.9
17031801500,9.3
17031801601,8
17031801603,10
17031801605,5.3
17031801606,10.8
17031801607,1.2
17031801608,6.3
17031801701,4.8
17031801702,2.5
17031801800,6.8
17031801901,9.1
17031801902,4.9
17031802002,2.3
17031802003,8.6
17031802004,11.8
17031802100,7.6
17031802200,2.1
17031802300,7.1
17031802402,4.2
17031802403,3.9
17031802404,8.1
17031802503,1.8
17031802504,0
17031802505,5.4
17031802506,7.3
17031802605,4.7
17031802607,1
17031802608,0.6
17031802609,3.2
17031802610,0
17031802701,2.3
17031802702,4
17031802801,3.1
17031802802,6.9
17031802900,1.4
17031803005,6.7
17031803007,6.6
17031803008,3.7
17031803010,2.7
17031803012,11.3
17031803013,4.3
17031803014,2.4
17031803015,6.7
17031803016,4.3
17031803017,0
17031803100,0
17031803200,2.8
17031803300,6.8
17031803400,6.8
17031803500,3.2
17031803603,9.3
17031803604,2.8
17031803605,3.4
17031803606,5.9
17031803607,0
17031803608,4.5
17031803610,8.2
17031803611,7.5
17031803612,7.8
17031803701,9
17031803702,5.7
17031803800,4.1
17031803901,7.8
17031803902,3.9
17031804000,1.8
17031804102,4.5
17031804104,0.7
17031804105,4.1
17031804106,0
17031804108,11.7
17031804109,8.6
17031804201,8.4
17031804202,2.5
17031804305,5.4
17031804306,4.9
17031804308,1.7
17031804309,0
17031804310,2.8
17031804311,0.6
17031804403,9.4
17031804404,5.5
17031804405,6.1
17031804406,5.2
17031804505,10.1
17031804506,1.9
17031804507,6.8
17031804508,9.8
17031804509,1.6
17031804510,3.1
17031804511,7.6
17031804603,2.5
17031804606,0
17031804607,5.1
17031804608,8.2
17031804609,8.9
17031804610,6.4
17031804611,5.8
17031804701,5.9
17031804705,3.3
17031804706,0
17031804709,17.7
17031804710,3.8
17031804711,3.2
17031804712,3.6
17031804713,7.2
17031804714,3.2
17031804715,5.3
17031804716,7.6
17031804803,0.8
17031804804,5.3
17031804805,2.1
17031804806,3.1
17031804807,4.5
17031804808,6.7
17031804809,3.8
17031804810,6.8
17031804901,5.4
17031804902,3.4
17031805001,3.6
17031805002,7.1
17031805105,9.5
17031805106,2.6
17031805107,9.6
17031805108,9.4
17031805109,2.9
17031805110,5.2
17031805111,2.7
17031805112,4.5
17031805201,1.6
17031805202,5.8
17031805301,5
17031805302,4.1
17031805401,5
17031805402,8.2
17031805501,12
17031805502,4.5
17031805600,3.8
17031805701,6.3
17031805702,7.7
17031805801,5.9
17031805802,3.8
17031805901,4.7
17031805902,7.1
17031806001,12.8
17031806002,9.1
17031806003,3.2
17031806004,2.7
17031806102,9.5
17031806103,4.8
17031806104,14.1
17031806201,2.8
17031806202,3
17031806300,6.2
17031806400,5.4
17031806501,5.6
17031806502,1.7
17031806600,1.5
17031806700,8.1
17031806801,3.2
17031806802,8.1
17031806900,4.7
17031807000,6.1
17031807100,10.8
17031807200,9.3
17031807300,5.4
17031807400,8.1
17031807500,0
17031807600,7.4
17031807700,11.1
17031807800,4.3
17031807900,8.3
17031808001,5.5
17031808002,5
17031808100,9
17031808200,5.3
17031808301,9.2
17031808302,10.3
17031808400,5.8
17031808500,7.6
17031808600,13.8
17031808702,9.5
17031808800,10.4
17031808900,6.5
17031809000,4.3
17031809100,10.8
17031809200,11.8
17031809300,17.2
17031809400,19.5
17031809500,14.3
17031809600,6.6
17031809700,8.5
17031809800,5.4
17031809900,4.8
17031810000,6.2
17031810100,4.7
17031810200,11.5
17031810301,5.1
17031810302,10.7
17031810400,2.9
17031810501,5.4
17031810502,5.6
17031810600,9.9
17031810701,6.7
17031810702,10.9
17031810800,5
17031810900,5.5
17031811000,5
17031811100,6.5
17031811200,6.6
17031811301,5.4
17031811302,2.8
17031811401,5.5
17031811402,11.2
17031811500,5.5
17031811600,5.3
17031811701,1.7
17031811702,10
17031811800,13.3
17031811900,4.4
17031812000,10.3
17031812100,8
17031812200,2.6
17031812301,14.9
17031812302,7
17031812400,4.8
17031812500,5.5
17031812600,6.4
17031812700,7.2
17031812801,6.9
17031812802,10.4
17031812900,9.8
17031813000,3.7
17031813100,3.5
17031813200,4.4
17031813301,16
17031813302,18.6
17031813400,9.8
17031813500,9.2
17031813600,4.1
17031813701,16.1
17031813702,6.3
17031813801,10.1
17031813802,6.1
17031813900,10.1
17031814000,6.8
17031814100,11.6
17031814200,13
17031814300,8.4
17031814400,6.4
17031814500,6.6
17031814600,9.9
17031814700,10.2
17031814800,8.1
17031814900,9.3
17031815000,4.9
17031815100,1.9
17031815200,5.8
17031815300,8.6
17031815400,12.1
17031815500,5.9
17031815600,2.2
17031815701,8.5
17031815702,0.7
17031815800,0.7
17031815900,3.3
17031816000,7.1
17031816100,8.3
17031816200,8
17031816300,4.4
17031816401,8.3
17031816402,9.9
17031816500,8
17031816600,11.3
17031816700,4.6
17031816800,6
17031816900,7.1
17031817000,10.5
17031817101,8.5
17031817102,9.7
17031817200,15.4
17031817300,20.8
17031817400,12.5
17031817500,19.4
17031817600,12.8
17031817700,5.3
17031817900,4.7
17031818000,6.5
17031818100,3.9
17031818200,8.5
17031818300,8.4
17031818401,5.7
17031818402,4.3
17031818500,6.1
17031818600,6.7
17031818700,13.7
17031818800,6.3
17031818900,4.8
17031819000,4.3
17031819100,6.8
17031819200,7
17031819300,6.9
17031819400,8.9
17031819500,15.6
17031819600,5.7
17031819700,1.4
17031819801,5
17031819802,1
17031819900,3.4
17031820000,2.9
17031820101,6.5
17031820103,4.6
17031820104,0.5
17031820201,4.8
17031820202,9.2
17031820300,13.1
17031820400,12.6
17031820501,3.7
17031820502,5.8
17031820603,10.2
17031820604,5.3
17031820605,22.1
17031820606,4.7
17031820700,8.8
17031820800,8.1
17031820901,10
17031820902,6.9
17031821001,5.4
17031821002,2.2
17031821101,1.6
17031821102,2.9
17031821200,12.4
17031821300,10
17031821401,5.7
17031821402,13.4
17031821500,35
17031821600,6.4
17031821700,5.1
17031821800,0
17031821900,5.3
17031822000,7.7
17031822101,3.5
17031822102,10
17031822200,3.8
17031822301,5.3
17031822302,4.4
17031822400,7.2
17031822500,4.1
17031822601,1.5
17031822602,6.8
17031822701,4.2
17031822702,11.6
17031822801,5.4
17031822802,8.8
17031822900,9.7
17031823001,10.3
17031823002,4.7
17031823101,3.8
17031823102,10.6
17031823200,7.2
17031823302,5.3
17031823303,1.6
17031823304,9.4
17031823400,14.3
17031823500,13.6
17031823602,13.7
17031823603,20.3
17031823604,4.7
17031823605,4.9
17031823702,8.3
17031823703,11.7
17031823704,7.6
17031823705,4.8
17031823801,6.3
17031823803,7.2
17031823805,2.7
17031823806,11.3
17031823901,5.9
17031823903,3.7
17031823904,7.4
17031824003,3.6
17031824004,7.2
17031824005,4.7
17031824006,1.8
17031824105,8.5
17031824106,3.4
17031824107,4.2
17031824108,3.5
17031824113,0
17031824114,4
17031824115,7
17031824116,7.4
17031824117,1.6
17031824119,0
17031824120,2.7
17031824121,0
17031824122,2.6
17031824123,4
17031824300,17.9
17031824400,9.6
17031824503,8.4
17031824505,3.9
17031824506,1.2
17031824507,3.1
17031824601,4.3
17031824602,8.7
17031824701,8.9
17031824702,8.1
17031824800,8.5
17031824900,5.9
17031825000,2.1
17031825200,1.6
17031825302,5.7
17031825303,13.6
17031825304,0
17031825400,11.9
17031825501,14.3
17031825503,0
17031825504,5
17031825505,11.3
17031825600,9.2
17031825700,10.9
17031825801,25.6
17031825802,6.3
17031825803,7.2
17031825900,12
17031826000,32.9
17031826100,14
17031826201,14
17031826202,15.9
17031826301,6.7
17031826303,6.9
17031826304,18.3
17031826401,11.8
17031826402,17.3
17031826500,11.8
17031826600,10.2
17031826700,18.9
17031826800,20.7
17031826901,30
17031826902,31.2
17031827000,21.5
17031827100,22.9
17031827200,12.7
17031827300,33.7
17031827400,22.6
17031827500,23.5
17031827600,13
17031827700,23.1
17031827801,7.7
17031827802,13.3
17031827804,1.5
17031827805,7.7
17031827901,5.2
17031827902,6.3
17031828000,10.2
17031828100,12.8
17031828201,6.3
17031828202,10.4
17031828300,9.4
17031828401,7.1
17031828402,5.6
17031828503,22.4
17031828504,14.2
17031828505,4.4
17031828506,15.5
17031828601,3.2
17031828602,3.8
17031828701,14.4
17031828702,10.9
17031828801,6.9
17031828802,3
17031828900,21.1
17031829000,27.3
17031829100,23.1
17031829200,16.1
17031829301,4.2
17031829302,20.6
17031829401,16.1
17031829402,5.1
17031829500,11.2
17031829600,11.3
17031829700,16.9
17031829800,2.7
17031829901,7.2
17031829902,8.4
17031830001,7.9
17031830003,6
17031830004,13.4
17031830005,11.7
17031830006,11.3
17031830007,10.8
17031830008,11
17031830100,9.7
17031830201,10.5
17031830202,5.7
17031830300,15.2
17031830400,9.7
17031830500,12.2
17031830600,15.6
17031830700,15.4
17031830800,1.5
17031830900,8.6
17031831000,9.1
17031831100,8.8
17031831200,15
17031831300,6.9
17031831400,10.7
17031831500,11.4
17031831600,13.6
17031831700,8.4
17031831800,11.4
17031831900,11.9
17031832000,8.6
17031832100,7.3
17031832200,10.3
17031832300,7.6
17031832400,19.5
17031832500,4.6
17031832600,12
17031832900,13.3
17031833000,9.7
17031833100,4.9
17031833300,14.4
17031833900,26.4
17031834000,25
17031834200,32.5
17031834300,12.5
17031834400,16.9
17031834500,27.2
17031834600,34.6
17031834700,47.6
17031834800,29.6
17031834900,27
17031835000,16
17031835100,11
17031835200,7.5
17031835500,27.2
17031835600,31.6
17031835700,0
17031835800,13
17031835900,13.4
17031836000,15.9
17031836100,18.7
17031836200,8.7
17031836300,10.3
17031836400,4.2
17031836500,9.9
17031836600,20.8
17031836700,13.3
17031836800,27
17031836900,23.4
17031837000,18
17031837100,15.6
17031837300,16.6
17031837400,18.2
17031837800,20.6
17031838000,10
17031838100,16
17031838200,7.6
17031838300,9.5
17031838600,13
17031838700,18.8
17031838800,12.6
17031839000,15.2
17031839100,17.3
17031839200,18.4
17031839500,23.6
17031839600,17.3
17031839700,8.3
17031839800,6.7
17031839900,8.5
17031840000,4.4
17031840100,5.7
17031840200,5.5
17031840300,6.5
17031840400,2.5
17031840700,15.7
17031840800,15.2
17031841000,7.7
17031841100,4.2
17031841200,11.9
17031841300,12
17031841400,25.3
17031841500,21.7
17031841600,35.9
17031841700,21
17031841800,25.4
17031841900,7.9
17031842000,10.1
17031842100,8
17031842200,7.4
17031842300,11.7
17031842400,15.3
17031842500,10.5
17031842600,14.3
17031842800,13.3
17031842900,5.5
17031843000,24.4
17031843100,29.4
17031843200,16.8
17031843300,18
17031843400,18.4
17031843500,10.3
17031843600,12.9
17031843700,3.1
17031843800,25.6
17031843900,15.1
17031980000,-
17031980100,-
17031990000,-