,census_tract,median_household_income_in_past_12_months
689,7706.01,"96,442"
690,7706.02,"71,103"
691,7707,"57,368"
692,7708,"58,147"
693,7709.01,"75,519"
694,7709.02,"61,466"
695,8001,"250,000+"
696,8002,"224,766"
697,8003,"207,500"
698,8004,"250,000+"
699,8005,"237,604"
700,8006,"238,182"
701,8007,"200,852"
702,8008,"98,125"
703,8009,"122,857"
704,8010,"122,743"
705,8011,"184,375"
706,8012,"226,563"
707,8013,"164,306"
708,8014,"134,803"
709,8015,"98,942"
710,8016.01,"111,082"
711,8016.03,"52,951"
712,8016.05,"136,094"
713,8016.06,"119,113"
714,8016.07,"94,808"
715,8016.08,"116,432"
716,8017.01,"186,111"
717,8017.02,"120,529"
718,8018,"151,136"
719,8019.01,"93,207"
720,8019.02,"163,649"
721,8020.02,"126,250"
722,8020.03,"105,066"
723,8020.04,"37,406"
724,8021,"151,094"
725,8022,"125,375"
726,8023,"126,765"
727,8024.02,"63,575"
728,8024.03,"70,511"
729,8024.04,"55,441"
730,8025.03,"81,543"
731,8025.04,"83,463"
732,8025.05,"56,479"
733,8025.06,"85,648"
734,8026.05,"98,769"
735,8026.07,"123,889"
736,8026.08,"66,208"
737,8026.09,"55,354"
738,8026.10,"93,194"
739,8027.01,"94,709"
740,8027.02,"86,034"
741,8028.01,"107,571"
742,8028.02,"109,223"
743,8029,"142,900"
744,8030.05,"74,375"
745,8030.07,"106,838"
746,8030.08,"113,179"
747,8030.10,"113,750"
748,8030.12,"74,750"
749,8030.13,"90,098"
750,8030.14,"70,505"
751,8030.15,"79,596"
752,8030.16,"102,679"
753,8030.17,"93,279"
754,8031,"121,875"
755,8032,"91,009"
756,8033,"108,891"
757,8034,"125,899"
758,8035,"114,375"
759,8036.03,"169,425"
760,8036.04,"79,853"
761,8036.05,"78,611"
762,8036.06,"51,429"
763,8036.07,"109,516"
764,8036.08,"67,380"
765,8036.10,"65,569"
766,8036.11,"68,184"
767,8036.12,"61,426"
768,8037.01,"89,896"
769,8037.02,"109,234"
770,8038,"93,262"
771,8039.01,"70,976"
772,8039.02,"90,750"
773,8040,"77,188"
774,8041.02,"141,786"
775,8041.04,"116,466"
776,8041.05,"131,821"
777,8041.06,"116,667"
778,8041.08,"91,616"
779,8041.09,"117,794"
780,8042.01,"142,521"
781,8042.02,"132,377"
782,8043.05,"76,556"
783,8043.06,"69,500"
784,8043.08,"75,948"
785,8043.09,"81,926"
786,8043.10,"96,274"
787,8043.11,"106,212"
788,8044.03,"79,260"
789,8044.04,"76,964"
790,8044.05,"59,965"
791,8044.06,"72,734"
792,8045.05,"71,438"
793,8045.06,"96,458"
794,8045.07,"105,240"
795,8045.08,"61,148"
796,8045.09,"84,375"
797,8045.10,"72,411"
798,8045.11,"58,203"
799,8046.03,"66,367"
800,8046.06,"113,083"
801,8046.07,"98,984"
802,8046.08,"88,149"
803,8046.09,"98,004"
804,8046.10,"67,319"
805,8046.11,"88,482"
806,8047.01,"69,472"
807,8047.05,"63,277"
808,8047.06,"115,500"
809,8047.09,"67,027"
810,8047.10,"86,333"
811,8047.11,"75,377"
812,8047.12,"97,348"
813,8047.13,"91,913"
814,8047.14,"81,181"
815,8047.15,"51,169"
816,8047.16,"96,667"
817,8048.03,"76,280"
818,8048.04,"80,568"
819,8048.05,"85,905"
820,8048.06,"76,058"
821,8048.07,"88,605"
822,8048.08,"107,931"
823,8048.09,"92,188"
824,8048.10,"76,799"
825,8049.01,"109,539"
826,8049.02,"93,086"
827,8050.01,"115,094"
828,8050.02,"43,704"
829,8051.05,"55,743"
830,8051.06,"72,022"
831,8051.07,"52,858"
832,8051.08,"60,435"
833,8051.09,"90,417"
834,8051.10,"81,346"
835,8051.11,"61,787"
836,8051.12,"59,180"
837,8052.01,"94,891"
838,8052.02,"82,351"
839,8053.01,"66,250"
840,8053.02,"86,833"
841,8054.01,"82,900"
842,8054.02,"85,980"
843,8055.01,"112,813"
844,8055.02,"141,339"
845,8056,"143,824"
846,8057.01,"117,500"
847,8057.02,"122,813"
848,8058.01,"95,733"
849,8058.02,"95,469"
850,8059.01,"81,250"
851,8059.02,"113,036"
852,8060.01,"51,684"
853,8060.02,"58,362"
854,8060.03,"68,018"
855,8060.04,"47,763"
856,8061.02,"90,365"
857,8061.03,"90,833"
858,8061.04,"47,753"
859,8062.01,"49,054"
860,8062.02,"54,139"
861,8063,"94,028"
862,8064,"93,750"
863,8065.01,"51,156"
864,8065.02,"74,063"
865,8066,"79,338"
866,8067,"122,743"
867,8068.01,"71,250"
868,8068.02,"68,294"
869,8069,"71,915"
870,8070,"64,604"
871,8071,"117,177"
872,8072,"85,526"
873,8073,"65,441"
874,8074,"63,136"
875,8075,"116,000"
876,8076,"64,625"
877,8077,"48,338"
878,8078,"106,473"
879,8079,"100,833"
880,8080.01,"101,384"
881,8080.02,"79,741"
882,8081,"50,047"
883,8082,"74,129"
884,8083.01,"71,500"
885,8083.02,"88,750"
886,8084,"94,402"
887,8085,"95,071"
888,8086,"168,750"
889,8087.02,"70,179"
890,8088,"144,853"
891,8089,"150,175"
892,8090,"149,583"
893,8091,"106,103"
894,8092,"44,458"
895,8093,"30,774"
896,8094,"60,031"
897,8095,"73,516"
898,8096,"74,233"
899,8097,"99,464"
900,8098,"95,156"
901,8099,"130,208"
902,8100,"92,590"
903,8101,"73,438"
904,8102,"62,416"
905,8103.01,"79,850"
906,8103.02,"83,750"
907,8104,"111,310"
908,8105.01,"81,152"
909,8105.02,"58,669"
910,8106,"55,038"
911,8107.01,"54,201"
912,8107.02,"56,964"
913,8108,"76,294"
914,8109,"52,171"
915,8110,"82,750"
916,8111,"51,763"
917,8112,"69,021"
918,8113.01,"68,125"
919,8113.02,"40,556"
920,8114.01,"69,097"
921,8114.02,"59,196"
922,8115,"76,618"
923,8116,"49,455"
924,8117.01,"54,272"
925,8117.02,"50,852"
926,8118,"75,625"
927,8119,"135,750"
928,8120,"121,503"
929,8121,"124,667"
930,8122,"216,375"
931,8123.01,"86,363"
932,8123.02,"141,111"
933,8124,"206,184"
934,8125,"65,438"
935,8126,"59,808"
936,8127,"65,313"
937,8128.01,"68,466"
938,8128.02,"60,238"
939,8129,"128,182"
940,8130,"114,333"
941,8131,"99,808"
942,8132,"135,121"
943,8133.01,"41,589"
944,8133.02,"41,250"
945,8134,"50,426"
946,8135,"59,228"
947,8136,"55,117"
948,8137.01,"48,731"
949,8137.02,"50,487"
950,8138.01,"47,244"
951,8138.02,"41,723"
952,8139,"43,159"
953,8140,"50,481"
954,8141,"41,972"
955,8142,"47,622"
956,8143,"45,625"
957,8144,"46,696"
958,8145,"64,842"
959,8146,"64,464"
960,8147,"76,735"
961,8148,"58,475"
962,8149,"55,156"
963,8150,"60,395"
964,8151,"74,676"
965,8152,"52,819"
966,8153,"73,750"
967,8154,"47,025"
968,8155,"70,917"
969,8156,"63,974"
970,8157.01,"128,444"
971,8157.02,"86,819"
972,8158,"95,096"
973,8159,"58,859"
974,8160,"76,587"
975,8161,"62,163"
976,8162,"61,695"
977,8163,"64,073"
978,8164.01,"51,850"
979,8164.02,"53,611"
980,8165,"32,667"
981,8166,"59,940"
982,8167,"48,506"
983,8168,"61,192"
984,8169,"61,923"
985,8170,"49,468"
986,8171.01,"42,466"
987,8171.02,"74,521"
988,8172,"48,450"
989,8173,"43,542"
990,8174,"56,678"
991,8175,"40,417"
992,8176,"46,181"
993,8177,"65,510"
994,8179,"53,118"
995,8180,"52,321"
996,8181,"102,656"
997,8182,"80,764"
998,8183,"60,205"
999,8184.01,"68,355"
1000,8184.02,"74,789"
1001,8185,"85,989"
1002,8186,"90,587"
1003,8187,"89,387"
1004,8188,"92,719"
1005,8189,"92,031"
1006,8190,"147,569"
1007,8191,"46,758"
1008,8192,"66,426"
1009,8193,"74,792"
1010,8194,"76,418"
1011,8195,"86,898"
1012,8196,"153,914"
1013,8197,"169,306"
1014,8198.01,"178,500"
1015,8198.02,"153,393"
1016,8199,"189,531"
1017,8200,"228,125"
1018,8201.01,"112,944"
1019,8201.03,"71,588"
1020,8201.04,"75,603"
1021,8202.01,"109,803"
1022,8202.02,"54,194"
1023,8203,"59,637"
1024,8204,"41,325"
1025,8205.01,"66,480"
1026,8205.02,"56,996"
1027,8206.03,"59,717"
1028,8206.04,"43,723"
1029,8206.05,"43,214"
1030,8206.06,"72,143"
1031,8207,"65,257"
1032,8208,"71,758"
1033,8209.01,"60,672"
1034,8209.02,"87,443"
1035,8210.01,"54,620"
1036,8210.02,"58,828"
1037,8211.01,"64,652"
1038,8211.02,"61,645"
1039,8212,"45,846"
1040,8213,"45,607"
1041,8214.01,"45,457"
1042,8214.02,"48,091"
1043,8215,"26,815"
1044,8216,"70,497"
1045,8217,"85,278"
1046,8218,"71,540"
1047,8219,"82,450"
1048,8220,"50,548"
1049,8221.01,"65,486"
1050,8221.02,"57,137"
1051,8222,"94,211"
1052,8223.01,"60,284"
1053,8223.02,"54,904"
1054,8224,"45,438"
1055,8225,"76,054"
1056,8226.01,"85,556"
1057,8226.02,"64,861"
1058,8227.01,"55,313"
1059,8227.02,"61,342"
1060,8228.01,"62,010"
1061,8228.02,"64,844"
1062,8229,"51,917"
1063,8230.01,"49,034"
1064,8230.02,"51,995"
1065,8231.01,"51,298"
1066,8231.02,"73,464"
1067,8232,"66,639"
1068,8233.02,"57,997"
1069,8233.03,"71,544"
1070,8233.04,"51,450"
1071,8234,"50,619"
1072,8235,"60,156"
1073,8236.02,"67,143"
1074,8236.03,"38,047"
1075,8236.04,"86,771"
1076,8236.05,"62,500"
1077,8237.02,"59,546"
1078,8237.03,"55,389"
1079,8237.04,"91,250"
1080,8237.05,"59,018"
1081,8238.01,"103,160"
1082,8238.03,"70,909"
1083,8238.05,"54,392"
1084,8238.06,"48,050"
1085,8239.01,"90,536"
1086,8239.03,"88,819"
1087,8239.04,"95,156"
1088,8240.03,"96,194"
1089,8240.04,"86,029"
1090,8240.05,"112,125"
1091,8240.06,"129,667"
1092,8241.05,"111,494"
1093,8241.06,"94,764"
1094,8241.07,"72,289"
1095,8241.08,"94,020"
1096,8241.13,"97,365"
1097,8241.14,"108,933"
1098,8241.15,"74,318"
1099,8241.16,"68,125"
1100,8241.17,"102,696"
1101,8241.19,"106,607"
1102,8241.20,"100,911"
1103,8241.21,"81,570"
1104,8241.22,"92,476"
1105,8241.23,"71,671"
1106,8243,"31,480"
1107,8244,"39,080"
1108,8245.03,"70,133"
1109,8245.05,"79,904"
1110,8245.06,"64,908"
1111,8245.07,"65,682"
1112,8246.01,"78,444"
1113,8246.02,"62,096"
1114,8247.01,"67,682"
1115,8247.02,"51,038"
1116,8248,"38,281"
1117,8249,"41,090"
1118,8250,"63,581"
1119,8252,"79,688"
1120,8253.02,"70,341"
1121,8253.03,"66,684"
1122,8253.04,"70,781"
1123,8254,"63,606"
1124,8255.01,"56,976"
1125,8255.03,"56,250"
1126,8255.04,"51,875"
1127,8255.05,"56,509"
1128,8256,"48,967"
1129,8257,"46,394"
1130,8258.01,"44,470"
1131,8258.02,"46,627"
1132,8258.03,"51,217"
1133,8259,"50,761"
1134,8260,"45,833"
1135,8261,"41,792"
1136,8262.01,"34,808"
1137,8262.02,"39,852"
1138,8263.01,"54,347"
1139,8263.03,"51,186"
1140,8263.04,"35,799"
1141,8264.01,"53,229"
1142,8264.02,"55,753"
1143,8265,"40,258"
1144,8266,"39,266"
1145,8267,"34,510"
1146,8268,"47,602"
1147,8269.01,"30,292"
1148,8269.02,"29,211"
1149,8270,"28,763"
1150,8271,"27,667"
1151,8272,"44,068"
1152,8273,"22,500"
1153,8274,"22,561"
1154,8275,"39,179"
1155,8276,"37,654"
1156,8277,"42,939"
1157,8278.01,"60,379"
1158,8278.02,"73,409"
1159,8278.04,"71,563"
1160,8278.05,"59,427"
1161,8279.01,"83,125"
1162,8279.02,"53,288"
1163,8280,"46,250"
1164,8281,"51,967"
1165,8282.01,"54,245"
1166,8282.02,"63,750"
1167,8283,"63,418"
1168,8284.01,"71,336"
1169,8284.02,"52,381"
1170,8285.03,"37,514"
1171,8285.04,"44,375"
1172,8285.05,"58,214"
1173,8285.06,"56,471"
1174,8286.01,"81,832"
1175,8286.02,"93,000"
1176,8287.01,"76,875"
1177,8287.02,"52,600"
1178,8288.01,"96,373"
1179,8288.02,"73,510"
1180,8289,"53,315"
1181,8290,"21,192"
1182,8291,"30,862"
1183,8292,"46,875"
1184,8293.01,"75,708"
1185,8293.02,"32,000"
1186,8294.01,"30,091"
1187,8294.02,"41,578"
1188,8295,"41,138"
1189,8296,"53,911"
1190,8297,"40,432"
1191,8298,"103,417"
1192,8299.01,"79,772"
1193,8299.02,"76,409"
1194,8300.01,"47,250"
1195,8300.03,"96,379"
1196,8300.04,"88,003"
1197,8300.05,"97,000"
1198,8300.06,"56,009"
1199,8300.07,"47,466"
1200,8300.08,"85,156"
1201,8301,"76,548"
1202,8302.01,"59,662"
1203,8302.02,"87,901"
1204,8303,"38,043"
1205,8304,"53,920"
1206,8305,"37,917"
1207,8306,"47,227"
1208,8307,"55,236"
1209,8308,"79,405"
1210,8309,"102,246"
1211,8310,"149,722"
1212,8311,"60,540"
1213,8312,"39,180"
1214,8313,"46,333"
1215,8314,"33,776"
1216,8315,"58,798"
1217,8316,"47,042"
1218,8317,"62,130"
1219,8318,"55,368"
1220,8319,"131,500"
1221,8320,"121,500"
1222,8321,"76,193"
1223,8322,"109,701"
1224,8323,"120,052"
1225,8324,"100,972"
1226,8325,"148,802"
1227,8326,"152,328"
1228,8329,"63,527"
1229,8330,"151,028"
1230,8331,"132,391"
1231,8333,"56,136"
1232,8339,"32,237"
1233,8340,"45,822"
1234,8342,"65,459"
1235,8343,"42,517"
1236,8344,"55,341"
1237,8345,"32,756"
1238,8346,"27,631"
1239,8347,"23,125"
1240,8348,"18,636"
1241,8349,"17,522"
1242,8350,"27,849"
1243,8351,"41,938"
1244,8352,"50,900"
1245,8355,"23,922"
1246,8356,"23,571"
1247,8357,"49,880"
1248,8358,"66,944"
1249,8359,"20,139"
1250,8360,"65,463"
1251,8361,"25,451"
1252,8362,-
1253,8363,"52,440"
1254,8364,"27,210"
1255,8365,"45,930"
1256,8366,"48,313"
1257,8367,"30,783"
1258,8368,"12,905"
1259,8369,"27,904"
1260,8370,"32,083"
1261,8371,"21,507"
1262,8373,"27,656"
1263,8374,"39,231"
1264,8378,"59,915"
1265,8380,"26,971"
1266,8381,"15,755"
1267,8382,"61,458"
1268,8383,"95,139"
1269,8386,"16,829"
1270,8387,"25,701"
1271,8388,"27,160"
1272,8390,"105,094"
1273,8391,"101,000"
1274,8392,"35,707"
1275,8395,"19,950"
1276,8396,"32,401"
1277,8397,"58,974"
1278,8398,"60,590"
1279,8399,"64,912"
1280,8400,"85,143"
1281,8401,"50,469"
1282,8402,"61,806"
1283,8403,"50,607"
1284,8404,"44,550"
1285,8407,"43,207"
1286,8408,"34,773"
1287,8410,"98,320"
1288,8411,"35,723"
1289,8412,"45,700"
1290,8413,"54,275"
1291,8414,"43,145"
1292,8415,"31,944"
1293,8416,"24,848"
1294,8417,"18,810"
1295,8418,"37,176"
1296,8419,"114,350"
1297,8420,"99,583"
1298,8421,"38,603"
1299,8422,"86,250"
1300,8423,"142,550"
1301,8424,"47,669"
1302,8425,"11,146"
1303,8426,"76,616"
1304,8428,"36,439"
1305,8429,"20,068"
1306,8430,"19,792"
1307,8431,"22,566"
1308,8432,"49,451"
1309,8433,"50,486"
1310,8434,"29,028"
1311,8435,"29,375"
1312,8436,"39,167"
1313,8437,"114,886"
1314,8438,"36,042"
1315,8439,"33,028"
1316,9800,-
1317,9801,-
1318,9900,-
